Dataset,OPT
Random-1000-1000-24-7,962.5
Random-1000-1000-24-8,962.5
Random-1000-1000-24-9,962.5
Random-1000-1000-24-10,962.5
Random-1000-1000-28-1,972.4
Random-1000-1000-28-2,972.4
Random-1000-1000-28-3,972.4
Random-1000-1000-28-4,972.4
Random-1000-1000-28-5,972.4
Random-1000-1000-28-6,972.4
Random-1000-1000-28-7,972.4
Random-1000-1000-28-8,972.4
Random-1000-1000-28-9,972.4
Random-1000-1000-28-10,972.4
Random-1000-1000-30-1,976.1
Random-1000-1000-30-2,976.1
Random-1000-1000-30-3,976.1
Random-1000-1000-30-4,976.1
Random-1000-1000-30-5,976.1
Random-1000-1000-30-6,976.1
Random-1000-1000-30-7,976.1
Random-1000-1000-30-8,976.1
Random-1000-1000-30-9,976.1
Random-1000-1000-30-10,976.1
Random-1000-1000-34-1,981.8
Random-1000-1000-34-2,981.8
Random-1000-1000-34-3,981.8
Random-1000-1000-34-4,981.8
Random-1000-1000-34-5,981.8
Random-1000-1000-34-6,981.8
Random-1000-1000-34-7,981.8
Random-1000-1000-34-8,981.8
Random-1000-1000-34-9,981.8
Random-1000-1000-34-10,981.8
Random-1000-1000-38-1,985.1
Random-1000-1000-38-2,985.1
Random-1000-1000-38-3,985.1
Random-1000-1000-38-4,985.1
Random-1000-1000-38-5,985.1
Random-1000-1000-38-6,985.1
Random-1000-1000-38-7,985.1
Random-1000-1000-38-8,985.1
Random-1000-1000-38-9,985.1
Random-1000-1000-38-10,985.1
Random-1000-1000-40-1,986.9
Random-1000-1000-40-2,986.9
Random-1000-1000-40-3,986.9
Random-1000-1000-40-4,986.9
Random-1000-1000-40-5,986.9
Random-1000-1000-40-6,986.9
Random-1000-1000-40-7,986.9
Random-1000-1000-40-8,986.9
Random-1000-1000-40-9,986.9
Random-1000-1000-40-10,986.9
Random-1000-1000-44-1,989.3
Random-1000-1000-44-2,989.3
Random-1000-1000-44-3,989.3
Random-1000-1000-44-4,989.3
Random-1000-1000-44-5,989.3
Random-1000-1000-44-6,989.3
Random-1000-1000-44-7,989.3
Random-1000-1000-44-8,989.3
Random-1000-1000-44-9,989.3
Random-1000-1000-44-10,989.3
Random-1000-1000-48-1,991.4
Random-1000-1000-48-2,991.4
Random-1000-1000-48-3,991.4
Random-1000-1000-48-4,991.4
Random-1000-1000-48-5,991.4
Random-1000-1000-48-6,991.4
Random-1000-1000-48-7,991.4
Random-1000-1000-48-8,991.4
Random-1000-1000-48-9,991.4
Random-1000-1000-48-10,991.4
Random-1000-1000-50-1,991.9
Random-1000-1000-50-2,991.9
Random-1000-1000-50-3,991.9
Random-1000-1000-50-4,991.9
Random-1000-1000-50-5,991.9
Random-1000-1000-50-6,991.9
Random-1000-1000-50-7,991.9
Random-1000-1000-50-8,991.9
Random-1000-1000-50-9,991.9
Random-1000-1000-50-10,991.9
Random-1000-1000-54-1,993.3
Random-1000-1000-54-2,993.3
Random-1000-1000-54-3,993.3
Random-1000-1000-54-4,993.3
Random-1000-1000-54-5,993.3
Random-1000-1000-54-6,993.3
Random-1000-1000-54-7,993.3
Random-1000-1000-54-8,993.3
Random-1000-1000-54-9,993.3
Random-1000-1000-54-10,993.3
